"","ID","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F300","F400","F401","F402","F403","F500","F501","F502","F503","F504","F505","F506","F507","F508","F509","F510","F511","F512","F513","F514","F515","F516","F517","F518","F519","F520","F521","F600","F601","F602","F603"
"1",405,4,4,0,0,1,93,2,32,17,12,3,2,3,16,6,0,8,1,1,7,1234,1234,0,1229,113,1229,1,1,1,1,1,4,10,0,1,1,8,4,1,120,210,120,120,210,120,0,210,120,1,169,16,21,5031,776,293,250,101,108,75,0.00666666666666667,0.833333333333333,1.28
"2",406,4,4,0,0,1,68,6,37,0,6,1,3,2,7,6,0,6,0,0,1,444,444,0,884,36,884,1,1,1,1,1,2,5,0,0,1,9,6,1,0,180,60,0,180,60,0,180,60,27,270,4,4,5616,4712,166,147,97,107,34.2105263157895,0,0.763157894736842,1.36842105263158
"3",407,6,4,0,0,1,96,10,42,17,9,2,0,3,12,1,0,4,1,1,1,719,719,0,1601,96,1601,1,1,1,1,1,3,2,0,1,1,10,2,1,30,30,30,30,30,30,0,30,0,11,156,3,3,23326,17987,517,393,517,393,75,0.02,0.826666666666667,1.37333333333333
"4",408,5,4,0,0,1,64,8,23,8,10,2,4,3,5,1,0,6,1,1,7,250,250,0,1070,40,1070,1,1,1,1,1,1,4,0,1,1,20,2,1,31,31,31,31,31,31,0,31,31,29,313,4,5,5249,3934,102,76,102,76,75,0,0.626666666666667,1.53333333333333
"5",409,4,4,0,0,1,70,2,20,16,6,2,3,4,12,5,0,6,1,1,1,706,706,0,1254,43,1254,1,1,1,1,1,2,4,2,1,1,28,1,1,60,300,0,60,300,0,60,300,0,2,70,0,2,7700,4382,84,85,11,17,75,0,0.74,1.55333333333333
"6",410,5,4,0,0,1,120,10,46,27,11,2,4,5,14,1,0,4,1,1,1,1410,1410,0,1622,118,1622,1,1,1,1,1,2,8,0,1,1,9,3,1,30,30,30,30,30,30,0,30,30,12,136,24,8,28896,21762,453,467,453,467,75,0,0.586666666666667,1.72
"7",411,4,4,0,0,1,75,13,10,24,6,3,2,3,8,6,0,5,1,1,1,846,846,0,1157,34,1157,1,1,1,1,1,2,4,0,1,1,10,3,1,210,120,60,210,120,60,210,120,60,8,256,0,0,3244,2337,171,102,119,80,75,0.00666666666666667,0.693333333333333,1.61333333333333
"8",412,4,4,0,0,1,72,5,30,6,7,4,2,4,13,1,0,6,1,1,1,640,640,0,1970,100,1970,1,1,1,1,1,2,4,0,1,1,10,10,1,1,5,2,0,5,2,0,5,2,1,10,3,0,254,140,63,38,63,38,75,0,0.826666666666667,1.66
"9",413,6,4,0,0,1,120,8,40,18,13,7,6,8,17,3,0,6,0,0,1,3058,1600,0,900,95,900,1,1,1,1,1,2,6,0,1,1,1,2,1,30,50,20,30,50,20,30,50,20,14,133,24,20,4491,3755,230,169,195,158,75,0.00666666666666667,0.846666666666667,1.39333333333333
"10",414,5,4,0,0,1,75,6,35,0,10,2,3,4,10,5,0,5,0,0,1,1343,681,662,645,98,645,1,1,1,1,1,2,1,0,1,1,10,7,1,0,270,0,0,270,0,0,270,0,11,110,5,4,5886,3119,103,66,103,66,67.5864661654135,0.0075187969924812,0.541353383458647,1.52631578947368
